rank,name,level,win
381,바밤밧,265,213
382,베란다고양이,567,173
383,1974892374892340,46,119
384,Yagao12,57,187
385,HLE Karis1,468,99
386,전설이 될 남자,821,482
387,LVLVLVLVLVLV,57,189
388,watdoesthefoxsay,60,227
389,쿠로미 마스크,507,120
390,lanmeihaochi,62,221
391,Tangyuando,136,200
392,대야웰백,429,140
393,Lpc123,63,248
394,특수교육 전공,251,70
395,Hang ln there,361,67
396,By 불비,649,247
397,onaa,42,87
398,순뀨박,121,198
399,Top  Joker 6,347,174
400,Feistyy,115,264
401,화려하게 살거야,97,81
402,Grinding 24 7 ,301,325
403,anjingdayouxi,180,126
404,Capper,183,328
405,로또그랩전문,168,121
406,Lovely jiwon XD,124,293
407,푸쿠이,322,135
408,Touwa Eri0,63,243
409,은하수의 별,369,106
410,yueqianlongma,54,178
411,우이우아아팅탱,145,91
412,Gen G VVinner,144,105
413,꿀벌호빗,410,278
414,므라기,226,171
415,ZED99,187,87
416,shenzhenshaoye,199,171
417,자신감의보조,170,168
418,Moo1,384,140
419,인생은회전목마아,98,106
420,cryscata,204,181
421,VG 뽀오,380,135
422,Sereno,592,100
423,FIORAKlNG,275,136
424,Seulgi mozzi,514,75
425,qwerty789,58,197
426,Yorick,575,101
427,노갱뒷감당알아서,560,360
428,나도모르는사이에,78,71
429,kkaammm,57,189
430,mayuanshiren,56,189
431,Enosh,343,254
432,갱플랭크,191,113
433,BRO Soboro,63,208
434,신장 과부,55,105
435,무슨 꿍꿍이,173,188
436,그땐 그저 좋았다,419,102
437,1904D,56,177
438,LastBloodShen,370,72
439,하인즈,402,359
440,좔리다,133,106
441,LSB Courage,261,161
442,htrec,67,196
443,일상이 이상해요,88,230
444,서민의밥상중두,90,150
445,g1hf,53,175
446,변함없는중국인들,699,357
447,매 혹,104,86
448,이탈리야 전문점,472,128
449,간다라쿤다,622,165
450,JINTIANHAORE,44,101
451,fangqing,74,157
452,Juhana,670,396
453,FA Decky,648,89
454,love again1,76,222
455,Bellwest,68,176
456,L1sure,250,147
457,전서방 닭갈비,208,97
458,Qusiba daye,209,101
459,1998zhg,139,62
460,모두가 건강하길,48,96
461,itsumonoyoni,62,240
462,ni lai wo si,67,260
463,19762345843,104,254
464,펜니르,374,238
465,noobad03,67,272
466,ChoGoT,98,105
467,come on and win,151,228
468,Carousel,47,89
469,강의 이블린팀com,68,162
470,Kingen,647,104
471,꽉잡아여,206,360
472,Witt Mid,372,216
473,xiongdimen,278,113
474,띄 뭉,402,121
475,도전전문유튜버,97,136
476,Introverted Ornn,246,194
477,민수99,98,195
478,lavazz,130,105
479,VAVAVAVAVA,277,331
480,Destiny,457,333
481,sbshangdan,422,204
482,Endless learning,90,114
483,Enosh1,98,176
484,Golden mole,213,52
485,123456654321,62,237
486,늪에 빠지다1,632,80
487,아자아자화이팅9,40,70
488,icddo,57,134
489,초보강아지,309,94
490,Happie,46,107
491,cxybaby,216,118
492,Zooorn,77,363
493,오스기,310,247
494,heihoushuohua,66,254
495,JianXlan,72,127
496,크리페,529,113
497,fdtft,80,228
498,이성죠,354,147
499,버기해적단 버기,218,248
500,dayuluoxia,227,272
501,xxxxxxxxxm1,308,182
502,2000년9월8일,631,116
503,cainiao1hao,55,176
504,6974123588462197,44,86
505,구글 롤브라더스,85,288
506,Zeus Fan1,70,169
507,sanspareil2,99,528
508,AFTV 문성규,190,204
509,FPX q2380023067c,90,357
510,Pyke 신,83,245
511,Dan Xiao Gu,54,169
512,계속되는 침체,70,156
513,벼향기,49,138
514,with Qowy,229,90
515,호우시우보,308,85
516,부드러운계란과자,382,247
517,ci jian wu sheng,67,156
518,friigid,254,180
519,Fizz GOD 00,67,109
520,T1 Roach,612,145
521,하루 200점씩 UP,105,440
522,구글롤플릭스검색,68,97
523,오노데라 레이,113,105
524,리그오브레전드ll,473,256
525,가끔 이러다1,143,251
526,잘하자 이현2022,717,114
527,불운소년,72,112
528,CCwhitte,111,133
529,젠지 제스트,258,165
530,BRO Loopy,375,277
531,Thanatos,151,223
532,바보상단 영민,119,213
533,324141312421213,402,186
534,buzhesuimu,63,251
535,제드팀 검색 구글,64,115
536,내나이가어때서어,574,190
537,남장구,233,323
538,매우잘하고싶다,417,191
539,외길인생 샤코,334,293
540,DNK01,82,404
541,wonangfei zz,116,264
542,LoveMiyoshiAyaka,46,119
543,순위 재밌다,58,216
544,Iras,127,240
545,폭탄목걸이수련법,188,89
546,Noticed,398,311
547,노력 집념 열정,125,105
548,5712873216837216,59,197
549,진짜개못하는미드,201,310
550,희포리,678,200
551,스물다섯번째밤,186,225
552,be a Good,175,268
553,돌이킬 수 있는,481,157
554,숨바꼭질,500,201
555,scy19980304,117,195
556,Rio Kairos,129,279
557,haoye,301,288
558,zzm7,107,292
559,Fantasy Moon,119,228
560,문효준,291,68
561,DK Rahel,399,148
562,변흥호,136,166
563,박치기공룡입니다,299,104
564,유령송 1시간반복,306,222
565,qwezr,51,151
566,qingxuzhishen,177,148
567,iwilldomybest,136,219
568,여행 떠나기,286,93
569,Phaseless,441,502
570,Benit,139,203
571,악마 넙치,325,114
572,KDF BuLLDoG,291,145
573,Fayer,175,173
574,S3 ADC,392,272
575,kfo,686,312
576,sweet lily,94,368
577,갈 망 하다0,99,67
578,민태석,399,159
579,FEMALE CHEETAH,70,153
580,늘잘하고싶은사람,63,56
581,아프리카TV소신,214,130
